Date,Time,Open,High,Low,Close,Volume
2024-05-01,00:00:00,2291.18,2292.76,2291.18,2292.03,74080
2024-05-01,00:05:00,2292.11,2292.64,2291.80,2291.80,21350
2024-05-01,00:10:00,2291.81,2292.76,2291.57,2292.20,19069
2024-05-01,00:15:00,2292.18,2292.55,2290.86,2290.86,27560
2024-05-01,00:20:00,2290.95,2290.95,2288.04,2288.26,68170
2024-05-01,00:25:00,2288.41,2289.93,2288.34,2289.88,26699
2024-05-01,00:30:00,2289.86,2290.53,2289.22,2290.03,43220
2024-05-01,00:35:00,2290.03,2290.11,2288.20,2288.32,78780
2024-05-01,00:40:00,2288.32,2288.97,2287.80,2287.80,142280
2024-05-01,00:45:00,2287.80,2288.47,2286.59,2286.78,70840
2024-05-01,00:50:00,2286.76,2288.36,2285.57,2287.76,108440
2024-05-01,00:55:00,2287.72,2288.15,2286.57,2286.76,114070
2024-05-01,01:00:00,2286.68,2288.61,2286.30,2288.22,30660
2024-05-01,01:05:00,2288.09,2288.53,2287.45,2288.01,34920
2024-05-01,01:10:00,2287.97,2288.24,2287.11,2287.14,40110
2024-05-01,01:15:00,2287.20,2287.78,2286.72,2287.76,21590
2024-05-01,01:20:00,2287.66,2287.97,2287.14,2287.57,29030
2024-05-01,01:25:00,2287.55,2288.53,2287.34,2287.53,48500
2024-05-01,01:30:00,2287.57,2287.72,2286.53,2286.53,110350
2024-05-01,01:35:00,2286.53,2286.74,2285.89,2286.43,179130
2024-05-01,01:40:00,2286.43,2288.14,2286.38,2288.11,152320
2024-05-01,01:45:00,2288.09,2289.30,2287.43,2288.78,233480
2024-05-01,01:50:00,2288.78,2289.22,2288.18,2288.39,273960
2024-05-01,01:55:00,2288.39,2289.32,2287.82,2287.88,222240
2024-05-01,02:00:00,2287.88,2288.49,2287.07,2287.07,158650
2024-05-01,02:05:00,2287.14,2287.59,2286.76,2286.84,108230
2024-05-01,02:10:00,2286.82,2287.26,2286.59,2287.10,110629
2024-05-01,02:15:00,2287.09,2287.68,2286.98,2287.27,89770
2024-05-01,02:20:00,2287.28,2287.97,2287.26,2287.70,82530
2024-05-01,02:25:00,2287.68,2287.84,2287.45,2287.72,89270
2024-05-01,02:30:00,2287.61,2287.72,2286.60,2287.18,146780
2024-05-01,02:35:00,2287.18,2287.88,2286.98,2287.48,99659
2024-05-01,02:40:00,2287.47,2288.20,2287.34,2287.99,65930
2024-05-01,02:45:00,2287.93,2287.97,2286.97,2287.14,15600
2024-05-01,02:50:00,2287.16,2288.07,2286.93,2288.01,15569
2024-05-01,02:55:00,2288.01,2288.51,2287.68,2287.88,16590
2024-05-01,03:00:00,2287.86,2288.22,2287.70,2287.76,13590
2024-05-01,03:05:00,2287.80,2287.89,2286.91,2287.20,22740
2024-05-01,03:10:00,2287.22,2287.51,2286.82,2287.20,36660
2024-05-01,03:15:00,2287.20,2287.32,2286.14,2286.47,31200
2024-05-01,03:20:00,2286.47,2286.66,2284.80,2285.82,54770
2024-05-01,03:25:00,2285.82,2287.43,2285.78,2287.43,30600
2024-05-01,03:30:00,2287.32,2287.41,2286.11,2286.13,24260
2024-05-01,03:35:00,2285.99,2286.55,2285.22,2285.74,27480
2024-05-01,03:40:00,2285.64,2285.95,2285.24,2285.49,17040
2024-05-01,03:45:00,2285.61,2285.68,2284.86,2285.05,21930
2024-05-01,03:50:00,2285.05,2285.09,2284.07,2284.20,39900
2024-05-01,03:55:00,2284.18,2284.43,2282.74,2284.07,57680
2024-05-01,04:00:00,2284.03,2284.43,2282.76,2282.82,42960
2024-05-01,04:05:00,2282.74,2283.39,2282.18,2282.66,45120
2024-05-01,04:10:00,2282.59,2282.61,2281.80,2282.49,51420
2024-05-01,04:15:00,2282.30,2282.34,2281.53,2281.66,118330
2024-05-01,04:20:00,2281.66,2282.09,2281.51,2281.89,85740
2024-05-01,04:25:00,2281.91,2283.39,2281.89,2283.34,82590
2024-05-01,04:30:00,2283.34,2284.91,2283.16,2284.53,31880
2024-05-01,04:35:00,2284.47,2285.05,2284.22,2284.89,25990
2024-05-01,04:40:00,2284.84,2285.36,2284.09,2284.18,26300
2024-05-01,04:45:00,2284.16,2284.32,2283.57,2283.57,40280
2024-05-01,04:50:00,2283.55,2284.18,2283.53,2284.01,21089
2024-05-01,04:55:00,2283.93,2284.16,2282.93,2283.11,28970
2024-05-01,05:00:00,2283.05,2285.34,2282.43,2285.20,44750
2024-05-01,05:05:00,2285.26,2286.11,2284.72,2285.95,34589
2024-05-01,05:10:00,2285.91,2286.36,2285.57,2286.20,26900
2024-05-01,05:15:00,2286.30,2286.61,2284.70,2285.11,97320
2024-05-01,05:20:00,2285.20,2286.03,2285.09,2285.91,19050
2024-05-01,05:25:00,2285.86,2285.86,2284.98,2285.32,29870
2024-05-01,05:30:00,2285.32,2287.28,2285.22,2287.28,65429
2024-05-01,05:35:00,2287.26,2287.70,2286.91,2287.28,127560
2024-05-01,05:40:00,2287.22,2287.49,2286.78,2287.00,144530
2024-05-01,05:45:00,2287.10,2287.34,2286.80,2287.16,43010
2024-05-01,05:50:00,2287.14,2288.21,2287.14,2287.95,49560
2024-05-01,05:55:00,2287.96,2288.32,2287.32,2287.35,102890
2024-05-01,06:00:00,2287.35,2287.63,2286.30,2286.70,161970
2024-05-01,06:05:00,2286.70,2287.72,2286.45,2287.41,132930
2024-05-01,06:10:00,2287.39,2288.01,2286.93,2287.39,165230
2024-05-01,06:15:00,2287.47,2288.80,2287.28,2288.47,174860
2024-05-01,06:20:00,2288.49,2289.16,2288.03,2288.63,105180
2024-05-01,06:25:00,2288.61,2289.07,2288.47,2288.70,89740
2024-05-01,06:30:00,2288.68,2289.70,2288.16,2289.30,73879
2024-05-01,06:35:00,2289.28,2289.28,2287.61,2287.74,83060
2024-05-01,06:40:00,2287.70,2288.95,2287.49,2288.72,50700
2024-05-01,06:45:00,2288.72,2288.97,2287.68,2287.89,78670
2024-05-01,06:50:00,2287.88,2287.89,2286.57,2287.76,147730
2024-05-01,06:55:00,2287.74,2287.88,2286.57,2286.70,105370
2024-05-01,07:00:00,2286.68,2287.82,2286.63,2287.61,243639
2024-05-01,07:05:00,2287.61,2287.82,2286.97,2287.24,136230
2024-05-01,07:10:00,2287.22,2287.49,2286.28,2286.36,56130
2024-05-01,07:15:00,2286.36,2287.20,2285.99,2286.72,202100
2024-05-01,07:20:00,2286.59,2287.18,2286.26,2286.30,156720
2024-05-01,07:25:00,2286.30,2287.28,2285.86,2286.70,238440
2024-05-01,07:30:00,2286.74,2286.76,2285.44,2285.83,120390
2024-05-01,07:35:00,2285.80,2286.82,2285.27,2285.49,162700
2024-05-01,07:40:00,2285.49,2285.57,2283.36,2283.88,161970
2024-05-01,07:45:00,2283.88,2284.64,2283.43,2283.98,100100
2024-05-01,07:50:00,2284.05,2284.89,2283.91,2284.70,114450
2024-05-01,07:55:00,2284.70,2286.11,2284.32,2285.72,180410
2024-05-01,08:00:00,2285.72,2286.68,2284.64,2284.99,226860
2024-05-01,08:05:00,2285.01,2285.76,2284.49,2285.49,133510
2024-05-01,08:10:00,2285.49,2286.24,2285.43,2285.68,94490
2024-05-01,08:15:00,2285.66,2285.70,2283.97,2284.16,100930
2024-05-01,08:20:00,2284.14,2285.05,2283.70,2284.09,64650
2024-05-01,08:25:00,2284.09,2285.89,2283.70,2285.80,73020
2024-05-01,08:30:00,2285.80,2286.53,2285.44,2286.18,53670
2024-05-01,08:35:00,2286.16,2286.16,2284.86,2284.99,42600
2024-05-01,08:40:00,2284.99,2285.38,2284.32,2284.57,84900
2024-05-01,08:45:00,2284.55,2284.86,2283.82,2284.57,160350
2024-05-01,08:50:00,2284.57,2284.95,2283.99,2284.91,124290
2024-05-01,08:55:00,2284.91,2286.28,2284.53,2286.16,119990
2024-05-01,09:00:00,2286.16,2287.03,2285.59,2286.93,270880
2024-05-01,09:05:00,2286.94,2288.80,2286.91,2288.36,227870
2024-05-01,09:10:00,2288.36,2289.22,2287.72,2288.24,114640
2024-05-01,09:15:00,2288.24,2288.24,2286.51,2286.54,149240
2024-05-01,09:20:00,2286.57,2287.39,2285.96,2287.18,103400
2024-05-01,09:25:00,2287.18,2287.51,2286.74,2287.34,60630
2024-05-01,09:30:00,2287.34,2289.36,2287.24,2289.16,122820
2024-05-01,09:35:00,2289.16,2289.66,2288.57,2288.68,230160
2024-05-01,09:40:00,2288.70,2289.74,2288.68,2289.45,99530
2024-05-01,09:45:00,2289.43,2291.57,2289.26,2291.07,87900
2024-05-01,09:50:00,2291.07,2293.01,2291.01,2292.03,90630
2024-05-01,09:55:00,2291.93,2292.64,2291.47,2291.86,100500
2024-05-01,10:00:00,2291.97,2291.97,2289.62,2290.28,81670
2024-05-01,10:05:00,2290.28,2290.47,2288.99,2289.14,145000
2024-05-01,10:10:00,2289.16,2291.86,2289.03,2291.43,77610
2024-05-01,10:15:00,2291.47,2292.13,2290.38,2290.74,96730
2024-05-01,10:20:00,2290.73,2291.55,2290.63,2290.63,186040
2024-05-01,10:25:00,2290.65,2291.70,2290.26,2291.55,106770
2024-05-01,10:30:00,2291.53,2291.95,2290.61,2290.80,66300
2024-05-01,10:35:00,2290.86,2291.11,2289.98,2290.45,119740
2024-05-01,10:40:00,2290.45,2291.89,2290.43,2290.93,71520
2024-05-01,10:45:00,2290.93,2292.97,2290.68,2292.45,60520
2024-05-01,10:50:00,2292.45,2293.63,2292.30,2293.07,173950
2024-05-01,10:55:00,2293.07,2294.22,2292.57,2293.02,114080
2024-05-01,11:00:00,2293.01,2293.64,2291.61,2291.70,119850
2024-05-01,11:05:00,2291.71,2293.18,2291.29,2292.55,146760
2024-05-01,11:10:00,2292.57,2293.09,2292.16,2292.39,128670
2024-05-01,11:15:00,2292.43,2293.30,2292.00,2292.84,248400
2024-05-01,11:20:00,2292.82,2292.99,2292.00,2292.89,179820
2024-05-01,11:25:00,2292.91,2294.66,2292.68,2294.63,159630
2024-05-01,11:30:00,2294.63,2294.93,2293.90,2294.59,232930
2024-05-01,11:35:00,2294.59,2296.13,2294.30,2295.88,246980
2024-05-01,11:40:00,2295.84,2296.97,2294.43,2294.50,267590
2024-05-01,11:45:00,2294.49,2294.64,2293.53,2293.61,215310
2024-05-01,11:50:00,2293.59,2294.80,2293.30,2294.47,180250
2024-05-01,11:55:00,2294.49,2294.59,2293.74,2294.45,209500
2024-05-01,12:00:00,2294.45,2296.05,2294.09,2295.70,328520
2024-05-01,12:05:00,2295.68,2295.94,2294.24,2295.49,416560
2024-05-01,12:10:00,2295.49,2297.96,2295.49,2297.39,417570
2024-05-01,12:15:00,2297.39,2298.63,2295.90,2296.74,493120
2024-05-01,12:20:00,2296.72,2296.88,2294.38,2295.97,489010
2024-05-01,12:25:00,2295.99,2296.49,2295.11,2295.43,136820
2024-05-01,12:30:00,2295.45,2298.11,2294.03,2295.97,478540
2024-05-01,12:35:00,2295.98,2298.18,2295.77,2297.05,262489
2024-05-01,12:40:00,2297.07,2297.62,2295.07,2297.24,431310
2024-05-01,12:45:00,2297.30,2299.18,2296.86,2298.68,275190
2024-05-01,12:50:00,2298.68,2299.91,2297.91,2299.13,274889
2024-05-01,12:55:00,2299.14,2299.27,2297.50,2298.13,353080
